,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac,S_degassed,CO2_degassed,S_CO2_degassed
0,446.1250753,-7.984143879,3500,2.5,4000,0.005325977,1.092132123,0,0.179981652,0.820018348,0,0,2.546744597,2.65450317,0,1,0,0,0,0,0,0,0,0,0,0.973597552,876.9201498,0,0,0.086996317,0,0,0,0,0.030500113,0.084690786,0.264778847,8.275774964,0,0,0,-9.184143879,1233.538518,5049.045841,2.590707557,0,0,0,0,0,0,0,0,0,1,0,0,0,4948.307106,0,0,0,
1,444.6363627,-7.985336453,3454.103823,2.496556256,3510.545828,0.005622061,1.091008772,0.098159725,0.180041525,0.72179875,0.081174784,0.016984942,2.536373907,2.644346232,7.717753289,0.999368581,0.00063122,1.99E-07,22.04375971,22.05072368,18.43036933,1.767801907,0,18.88174622,0.826966286,0.973625198,873.3853475,954.4307744,191.5500707,0.002733071,0.010481457,0.000283935,0.00012564,2.63E-05,0.030483759,0.08463399,0.264805033,0,0,-0.030483759,-0.08463399,-9.185336453,1233.697501,5047.103161,2.583809743,0.098159725,0.180041525,0.72179875,0.081174784,0.016984942,0.999368581,0.00063122,1.99E-07,7.353308569,1.017995699,-0.354339676,-0.354339676,-1.372335375,4946.525343,0,0.013113193,0.122363543,0.107165852
2,443.14765,-7.986529028,3444.872606,2.496133501,3457.025774,0.005607523,1.089889816,0.103926756,0.180608355,0.715464889,0.085939053,0.017987703,2.526044712,2.634229402,8.157088747,0.999291122,0.00070765,1.23E-06,23.5747556,23.61564436,18.48552725,1.769998248,0,18.93794024,0.826919418,0.973647803,872.3060474,1003.211739,201.3562906,-0.081823707,0.010452877,0.000282912,0.000148863,3.12E-05,0.03048385,0.084624926,0.264826464,0,0,-0.06096761,-0.169258916,-9.186529028,1234.053607,5046.864682,2.584162385,0.103926756,0.180608355,0.715464889,0.085939053,0.017987703,0.999291122,0.00070765,1.23E-06,6.884318494,1.032424915,-1.026210457,-1.026210457,-2.058635373,4946.388734,0,0.015750684,0.135743557,0.116032647
3,441.6589374,-7.987721603,3442.798222,2.495983113,3437.939941,0.005604309,1.08877526,0.103891962,0.181133947,0.714974091,0.08586368,0.018028282,2.515756857,2.624152521,8.157467916,0.999263571,0.000732741,3.69E-06,23.56144877,23.68002783,18.52724764,1.778622085,0,18.98007888,0.826470867,0.973674832,871.0139637,995.1432306,200.3134143,-0.166432456,0.010446585,0.000282443,0.000154064,3.23E-05,0.030485957,0.084619627,0.264852115,0,0,-0.091453567,-0.253878543,-9.187721603,1234.432809,5046.779848,2.583879891,0.103891962,0.181133947,0.714974091,0.08586368,0.018028282,0.999263571,0.000732741,3.69E-06,6.881899993,1.039264783,-1.36322597,-1.36322597,-2.402490753,4946.41917,0,0.016343365,0.140515015,0.116310453
4,440.1702248,-7.988914177,3440.673727,2.495828415,3418.541952,0.005601016,1.087665107,0.104060768,0.181655092,0.71428414,0.085960085,0.018100683,2.505510189,2.614115431,8.173193042,0.999235231,0.000758527,6.24E-06,23.54620604,23.73997114,18.56799407,1.78699897,0,19.02121506,0.826056608,0.973702257,869.6879134,989.1046839,199.6235594,-0.251034332,0.010440136,0.000281967,0.000159713,3.36E-05,0.030488087,0.084614214,0.264878169,0,0,-0.121941654,-0.338492757,-9.188914177,1234.812293,5046.692583,2.583490842,0.104060768,0.181655092,0.71428414,0.085960085,0.018100683,0.999235231,0.000758527,6.24E-06,6.864105986,1.043648495,-1.531428698,-1.531428698,-2.575077193,4946.448733,0,0.016950364,0.145364512,0.116605927
5,438.6815121,-7.990106752,3438.542204,2.495672814,3399.186808,0.005597711,1.086559363,0.104229592,0.182179813,0.713590595,0.086056892,0.0181727,2.495304555,2.604117975,8.188945374,0.999206728,0.000784292,8.98E-06,23.53099841,23.80041243,18.60905214,1.795360111,0,19.06267002,0.8256474,0.973729673,868.366465,983.0953517,198.9263702,-0.335630704,0.010433665,0.000281491,0.000165375,3.49E-05,0.030490213,0.084608786,0.264904243,0,0,-0.152431867,-0.423101543,-9.190106752,1235.191856,5046.604808,2.583109535,0.104229592,0.182179813,0.713590595,0.086056892,0.0181727,0.999206728,0.000784292,8.98E-06,6.846333946,1.046743432,-1.615278665,-1.615278665,-2.662022097,4946.477743,0,0.01755937,0.150203298,0.116904026
6,437.1927995,-7.991299327,3436.403718,2.495516307,3379.876433,0.005594395,1.085458033,0.104399612,0.182708053,0.712892336,0.086154411,0.0182452,2.4851398,2.594159996,8.204817735,0.99917806,0.000810038,1.19E-05,23.51580742,23.86132625,18.65041122,1.803786467,0,19.10443054,0.825236894,0.973757085,867.04917,977.1185921,198.2314069,-0.420221543,0.01042717,0.000281014,0.000171049,3.62E-05,0.030492337,0.084603341,0.264930342,0,0,-0.182924204,-0.507704884,-9.191299327,1235.571502,5046.516523,2.582734676,0.104399612,0.182708053,0.712892336,0.086154411,0.0182452,0.99917806,0.000810038,1.19E-05,6.828496055,1.049171701,-1.65697633,-1.65697633,-2.706148031,4946.506218,0,0.018170366,0.155030892,0.11720481
7,435.7040869,-7.992491901,3434.258144,2.495358881,3360.610761,0.005591066,1.084361122,0.104570841,0.183239845,0.712189315,0.08625266,0.01831818,2.475015773,2.584241338,8.220811558,0.999149226,0.000835763,1.50E-05,23.50063317,23.92271756,18.69207432,1.812277818,0,19.14649972,0.82482516,0.973784494,865.7360205,971.1743453,197.5385827,-0.50480683,0.010420652,0.000280537,0.000176737,3.75E-05,0.030494459,0.084597878,0.264956466,0,0,-0.213418663,-0.592302762,-9.192491901,1235.951232,5046.427719,2.582366276,0.104570841,0.183239845,0.712189315,0.08625266,0.01831818,0.999149226,0.000835763,1.50E-05,6.810591854,1.05125735,-1.67760883,-1.67760883,-2.72886618,4946.53415,0,0.018783387,0.15984731,0.11750831
8,434.2153743,-7.993684476,3432.105357,2.495200524,3341.389729,0.005587726,1.083268636,0.104743288,0.183775225,0.711481487,0.086351644,0.018391644,2.464932321,2.574361845,8.236927956,0.999120223,0.000861469,1.83E-05,23.48547588,23.98459175,18.7340446,1.820834849,0,19.18888074,0.824412194,0.973811899,864.4270096,965.2624179,196.8478846,-0.589386548,0.010414111,0.00028006,0.000182439,3.89E-05,0.030496578,0.084592399,0.264982614,0,0,-0.243915242,-0.676895161,-9.193684476,1236.331043,5046.338391,2.582004349,0.104743288,0.183775225,0.711481487,0.086351644,0.018391644,0.999120223,0.000861469,1.83E-05,6.792621259,1.053168919,-1.687713224,-1.687713224,-2.740882143,4946.561533,0,0.019398469,0.164652568,0.117814558
9,432.7266616,-7.994877051,3429.945227,2.495041222,3322.213276,0.005584374,1.082180578,0.104916964,0.184314228,0.710768807,0.086451368,0.018465596,2.454889295,2.564521364,8.253168058,0.999091048,0.000887156,2.18E-05,23.47033576,24.04695427,18.77632523,1.829458256,0,19.23157683,0.823997993,0.9738393,863.1221304,959.3826173,196.1592998,-0.673960677,0.010407545,0.000279583,0.000188155,4.02E-05,0.030498695,0.084586903,0.265008787,0,0,-0.274413936,-0.761482064,-9.194877051,1236.710936,5046.248529,2.581648912,0.104916964,0.184314228,0.710768807,0.086451368,0.018465596,0.999091048,0.000887156,2.18E-05,6.774584189,1.054993972,-1.692554751,-1.692554751,-2.747548723,4946.588359,0,0.020015649,0.169446681,0.118123585
