,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac
0,414.6837683,-8.009330812,3500,2.5,4000,0.005295438,1.069347689,0,0.20144489,0.79855511,0,0,2.336327983,2.448301285,0,1,0,0,0,0,0,0,0,0,0,0.9782933,893.2894937,0,0,0.080026272,0,0,0,0,0.02885227,0.078130786,0.26969009,7.686090696,0,0,0,-9.209330812,1203.645175,4898.324022,2.716714718,0,0,0,0,0,0,0,0,0,1,0,0,0,4818.124737,0
1,414.2696704,-8.009662537,3412.35617,2.494239066,3351.964546,0.00552172,1.069060889,0.131068489,0.200747568,0.668183943,0.106297425,0.024771064,2.333674273,2.445698822,10.33407113,0.999099617,0.000900383,0,29.52591751,29.52591751,24.75120882,2.135969327,0,25.25285029,0.811006716,0.978299777,889.0698298,1076.983024,239.4793344,0.080814855,0.010401689,0.000230726,0.000235338,5.48E-05,0.028827095,0.078059636,0.2696976,0,0,0,0,-9.209662537,1203.510229,4895.721854,2.704914516,0.131068489,0.200747568,0.668183943,0.106297425,0.024771064,0.999099617,0.000900383,0,5.097975461,1.035268723,-0.373165046,-0.373165046,-1.408433769,4815.600039,0
2,413.8555725,-8.009994262,3398.657115,2.493765674,3305.977573,0.005500025,1.068774437,0.136941084,0.201018257,0.662040659,0.111133862,0.025807223,2.331023538,2.443099221,10.77608983,0.999024889,0.000975111,0,31.57961624,31.57961624,24.80043852,2.126430519,0,25.30323012,0.811545068,0.978306254,889.1404494,1123.663614,248.964105,0.080916662,0.010359225,0.000229714,0.000265948,6.18E-05,0.028825742,0.078052994,0.269705113,0,0,0,0,-9.209994262,1203.597073,4895.508014,2.706162689,0.136941084,0.201018257,0.662040659,0.111133862,0.025807223,0.999024889,0.000975111,0,4.834492599,1.061150857,-1.050768501,-1.050768501,-2.111919358,4815.416636,0
3,413.4414747,-8.010325986,3398.020766,2.493722162,3301.844762,0.005499032,1.068488334,0.136508009,0.201203621,0.662288369,0.110755287,0.025752723,2.328375775,2.440502481,10.74513293,0.999019743,0.000980257,0,31.61581932,31.61581932,24.81952591,2.130152001,0,25.32250471,0.811346436,0.978312731,888.8318704,1117.526322,247.9078399,0.080917398,0.0103573,0.000229601,0.000266518,6.20E-05,0.028826396,0.078051789,0.269712627,0,0,0,0,-9.210325986,1203.70195,4895.488359,2.706256861,0.136508009,0.201203621,0.662288369,0.110755287,0.025752723,0.999019743,0.000980257,0,4.851644764,1.071792164,-1.392166079,-1.392166079,-2.463958243,4815.423593,0
4,413.0273768,-8.010657711,3397.111748,2.493661183,3296.175154,0.005497613,1.06820258,0.136574805,0.201374383,0.662050812,0.110791253,0.025783552,2.325730981,2.437908596,10.75145398,0.999011533,0.000988467,0,31.6403422,31.6403422,24.83615274,2.13321634,0,25.33927857,0.811212967,0.978319207,888.4575541,1115.582599,247.6743713,0.080924391,0.010354513,0.000229469,0.000268864,6.26E-05,0.028826963,0.078050344,0.269720144,0,0,0,0,-9.210657711,1203.806105,4895.460813,2.706150482,0.136574805,0.201374383,0.662050812,0.110791253,0.025783552,0.999011533,0.000988467,0,4.847532535,1.077612516,-1.562570421,-1.562570421,-2.640182937,4815.422813,0
5,412.6132789,-8.010989435,3396.204355,2.493600229,3290.522149,0.005496196,1.067917175,0.136631685,0.201545997,0.661822319,0.110820699,0.025810986,2.323089152,2.435317565,10.75702688,0.999003358,0.000996642,0,31.6652135,31.6652135,24.8529121,2.136119022,0,25.3561913,0.811090771,0.978325683,888.0858441,1113.575546,247.4079642,0.08093127,0.010351731,0.000229337,0.000271188,6.32E-05,0.02882753,0.078048902,0.269727663,0,0,0,0,-9.210989435,1203.910274,4895.433279,2.706051568,0.136631685,0.201545997,0.661822319,0.110820699,0.025810986,0.999003358,0.000996642,0,4.843842185,1.080915669,-1.647569148,-1.647569148,-2.728484817,4815.42204,0
6,412.1991811,-8.01132116,3395.29598,2.493539121,3284.872791,0.005494777,1.067632119,0.136688773,0.201717935,0.661593292,0.110850232,0.025838541,2.320450287,2.432729384,10.7626194,0.998995183,0.001004817,0,31.69014076,31.69014076,24.86970681,2.139033752,0,25.37313971,0.810968084,0.978332159,887.7144089,1111.571831,247.1424645,0.080938164,0.010348946,0.000229206,0.000273513,6.38E-05,0.028828098,0.07804746,0.269735183,0,0,0,0,-9.21132116,1204.014447,4895.405675,2.705953021,0.136688773,0.201717935,0.661593292,0.110850232,0.025838541,0.998995183,0.001004817,0,4.840143627,1.082950293,-1.689875682,-1.689875682,-2.772825975,4815.421198,0
7,411.7850832,-8.011652885,3394.386641,2.493477859,3279.227177,0.005493357,1.067347412,0.136745973,0.201890205,0.661363822,0.11087983,0.025866143,2.317814381,2.430144051,10.76822396,0.99898701,0.00101299,0,31.71512595,31.71512595,24.88653789,2.141954852,0,25.39012499,0.810845307,0.978338635,887.3432714,1109.571213,246.8771696,0.080945072,0.010346158,0.000229074,0.000275839,6.43E-05,0.028828666,0.078046017,0.269742706,0,0,0,0,-9.211652885,1204.118625,4895.378002,2.705854912,0.136745973,0.201890205,0.661363822,0.11087983,0.025866143,0.99898701,0.00101299,0,4.836440948,1.08434545,-1.710841447,-1.710841447,-2.795186897,4815.420284,0
8,411.3709853,-8.011984609,3393.476333,2.493416444,3273.585306,0.005491935,1.067063054,0.136803286,0.202062807,0.661133907,0.110909493,0.025893793,2.315181432,2.42756156,10.77384065,0.998978837,0.001021163,0,31.74016925,31.74016925,24.90340546,2.144882399,0,25.40714724,0.810722435,0.97834511,886.9724315,1107.573687,246.6120861,0.080951993,0.010343367,0.000228942,0.000278168,6.49E-05,0.028829235,0.078044574,0.269750231,0,0,0,0,-9.211984609,1204.222808,4895.350259,2.705757241,0.136803286,0.202062807,0.661133907,0.110909493,0.025893793,0.998978837,0.001021163,0,4.832734114,1.085418523,-1.721139309,-1.721139309,-2.806557832,4815.419301,0
9,410.9568875,-8.012316334,3392.565052,2.493354873,3267.947177,0.005490511,1.066779046,0.136860713,0.202235742,0.660903546,0.110939221,0.025921492,2.312551436,2.424981911,10.77946949,0.998970665,0.001029335,0,31.76527086,31.76527086,24.92030961,2.147816412,0,25.42420656,0.810599469,0.978351585,886.6018888,1105.579249,246.3472132,0.080958927,0.010340574,0.00022881,0.000280498,6.55E-05,0.028829803,0.078043132,0.269757758,0,0,0,0,-9.212316334,1204.326997,4895.322446,2.705660007,0.136860713,0.202235742,0.660903546,0.110939221,0.025921492,0.998970665,0.001029335,0,4.829023124,1.086329626,-1.726104278,-1.726104278,-2.812433904,4815.418246,0
