Sample,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Cl,H2O,CO2,SiO2err,TiO2err,Al2O3err,FeOerr,MnOerr,MgOerr,CaOerr,Na2Oerr,K2Oerr,P2O5err,Serr,Clerr,H2Oerr,CO2err
16IPE1BextMG01,62.59401704,1.246587068,14.04615126,7.247553764,0.151683119,1.704645672,4.730774119,4.009244414,1.579181395,0.204435597,53.97999869,573.633879,2.422965161,0,1.343715016,0.01291177,0.186598408,0.753167717,0.020994,0.585936963,0.570133127,0.028185276,0.209947074,0.005791205,,59.32625894,0.000666723,0
16IPE1BextMG03,62.51379902,1.197965717,14.41712492,6.96898241,0.144769507,1.462112868,4.804825907,4.214804578,1.584017811,0.213531606,39.83306199,597.4959298,2.414332756,0,0.492607379,0.134685349,0.45041943,0.513600302,0.008297791,0.308527946,0.1096566,0.162976041,0.021239193,0.033173333,,181.4304274,0.002763842,0
16IPE1BintPLAGMI01,61.68979457,1.283868748,13.71211847,7.666589779,0.152289926,2.02134554,5.023901539,3.906618941,1.485337881,0.270812455,118.1441143,653.0361858,2.710204128,0,0.61656974,0.05021612,0.3537845,0.42237745,0.014331607,0.402354879,0.389059583,0.253012394,0.145567438,0.017659281,73.03362709,53.07537272,0.130941437,0
16IPE1BextOLVMI04,54.06054358,1.076505116,18.24597842,7.5451593,0.141554498,2.932161426,8.053042784,3.813635525,0.511053505,0.11709221,686.3748466,687.104903,3.365925663,0,0.713850154,0.045800612,0.103300457,0.069964354,0.010273517,0.018649514,0.073500772,0.211864208,0.246519325,0.018756365,36.80348,24.99147,0.024306878,0
16IPE1BextOLVMI06,48.49888861,1.030901197,19.97789503,7.617579214,0.13044936,4.545345453,10.8914173,2.980614586,0.390229198,0.124849313,1505.837403,520.8160131,3.609165396,0,0.61656974,0.05021612,0.3537845,0.42237745,0.014331607,0.402354879,0.389059583,0.253012394,0.145567438,0.017659281,73.03362709,53.07537272,0.11806385,0
16IPE1BextPLAGMI02,67.33152472,0.678447072,14.22381579,4.434497318,0.103769339,0.973488378,3.608430253,4.31542858,2.016728548,0.121458908,122.0280355,906.1125518,2.08959703,0,0.61656974,0.05021612,0.3537845,0.42237745,0.014331607,0.402354879,0.389059583,0.253012394,0.145567438,0.017659281,73.03362709,53.07537272,0.038367123,
16IPE1BextPLAGMI12,62.00099595,1.008121861,15.51118735,6.287311177,0.146607864,1.593041844,4.911337859,4.054453113,1.487242036,0.195100154,279.6939947,1075.761242,2.669055268,0,0.551881331,0.046062326,0.088435776,0.044437592,0.020598759,0.027425853,0.06084157,0.167828466,0.181076016,0.007601049,27.76962,13.66065,0.077467409,0
16IPE1BextPLAGMI14,63.69796839,1.184139318,13.86404207,6.778766808,0.141184107,1.374782448,4.223173188,4.343780931,1.648918203,0.211153618,186.962136,1108.613333,2.40253337,0,0.893090234,0.040513766,0.142685364,0.18835344,0.010087736,0.084838319,0.253733245,0.297635171,0.237846269,0.018219376,67.23844,44.9361,0.273605931,0
16IPE1BextPLAGMI15B,61.0601741,1.082114028,15.84108135,6.524881493,0.144949607,1.543413337,4.749609533,4.353923081,1.499397391,0.211342983,212.9344832,1028.83589,2.864936056,0,0.622196015,0.046669691,0.098707869,0.09748668,0.011328605,0.098757677,0.168487768,0.161964936,0.242848892,0.018244159,,31.52782,,
16IPE1BextPXMI07A,58.47692909,0.907573623,17.33635284,5.990431586,0.120804809,2.42777703,5.643287981,4.236117656,1.510627763,0.178926263,546.6068464,990.3565095,3.01747502,0,0.683879078,0.038804229,0.140564246,0.194460238,0.010375247,0.220206432,0.260253636,0.249223774,0.245557596,0.041716066,48.02293,61.09403,,
16IPE1BextPXMI07B,60.57591141,1.001376448,15.90831512,6.27882168,0.141556795,1.960302957,5.270220636,4.09372141,1.606469902,0.196580407,0,1129.109973,2.853812236,0,2.037570557,0.128864847,2.830904854,0.5567047,0.030812013,3.29775872,3.96629062,0.835827001,0.362804077,0.0599906,,322.3508699,,
16IPE1BextPXMI07C,60.73710882,1.057904066,16.15213049,6.070093272,0.13295606,2.082773744,4.896571952,4.161121364,1.585433314,0.158134419,359.153629,991.3428427,2.830722852,0,0.489865104,0.048001374,0.35037933,0.243806473,0.016944809,0.359721329,0.390882836,0.198823352,0.2459037,0.027157637,16.40202,41.41171,0.074358771,0
16IPE1BextPXMI07D,59.53664696,1.291163216,15.83056276,6.92977478,0.15565307,2.190881337,5.356380702,3.955445806,1.456723728,0.210821378,0,816.7035957,3.004275909,0,0.529062018,0.03961681,0.118323221,0.136366487,0.009622947,0.018842655,0.045233202,0.157118894,0.328512275,0.003969774,27.7042,32.3945,0.110049924,0
16IPE1BextPXMI08,65.67784317,0.725674159,13.18981262,5.71374346,0.165157331,1.786992742,4.651976437,3.874614713,1.680073328,0.154530398,144.2785392,876.4206276,2.277511731,0,0.428121412,0.030681992,0.127291399,0.181586709,0.015740502,0.029526328,0.044934232,0.175162126,0.215880848,0.014095166,66.51729,6.36396,0.069712936,0
16IPE1BextPXMI09,67.28931839,0.953478492,12.05979014,6.097871928,0.13683562,1.346053872,3.929691145,3.611936691,2.186979602,0.045974433,35.19690182,1510.575248,2.187492472,0,0.437640907,0.072707582,0.094110521,0.10157217,0.009245595,0.033732691,0.076532972,0.582525575,0.183768106,0.013174267,55.96233526,35.5962896,0.058610742,0
16IPE1BextPXMI10,61.08055943,1.097198481,15.29133582,6.960422835,0.144086419,1.847767511,4.902152938,4.108656874,1.46328921,0.17778188,362.4992901,993.9433131,2.791104342,0,0.555958666,0.06875719,0.357972493,0.897681073,0.008302981,0.402908735,0.198657153,0.574149008,0.045945703,0.009638881,47.13843736,45.01307355,0.033165061,0
16IPE1BextPXMI16A,64.03746613,1.061790625,13.57288603,6.521921562,0.155545571,1.867175506,4.983494763,3.360139776,1.622509075,0.183835188,188.1648394,1141.935252,2.500225766,0,0.444802586,0.069456027,0.470824219,0.63080409,0.011900933,0.374025561,0.333342837,0.262614122,0.04244322,0.008050542,64.0380272,29.267564,0.099681641,0
CL06MI01,48.30695207,0.868294984,18.32434826,8.877133207,0.155796022,5.900654656,10.57920379,2.535295593,0.403128578,0.130894854,2026.507913,651.9565766,3.650451541,0,0.364790819,0.030718203,0.346961585,0.711862472,0.012632441,0.446230178,0.240897856,0.247696277,0.041979269,0.005805907,130.1742064,12.11016036,0.08032171,0
CL06MI02,49.7086154,0.977442426,18.30148062,8.885347889,0.14356907,4.49961354,9.947126597,3.123465203,0.517999102,0.161342649,1544.554505,680.98257,3.511443794,0,0.451901032,0.018642796,0.16684396,0.53153871,0.011804565,0.22805492,0.150633019,0.142758526,0.062147367,0.011615893,133.0827037,5.250944479,0.034989622,0
CL06MI03,47.62147249,0.884001889,18.6539047,9.497514504,0.202647666,5.424044758,10.72386946,2.579037798,0.28088847,0.125877777,2290.968836,584.4408258,3.668967455,502.320647,0.47060613,0.028389229,0.170270646,0.565647388,0.014201181,0.283989176,0.179330835,0.235961155,0.02711408,0.004850415,191.1862917,24.68472306,0.059355472,252
CV09EMI02,49.6732813,0.874390487,17.42407039,9.343172368,0.201205377,4.651222975,10.81179877,2.789216145,0.388582306,0.10418383,1084.496875,678.4461932,3.562581748,0,0.36430746,0.035263141,0.19624967,0.518066715,0.009832567,0.24810073,0.160308936,0.125322703,0.053737198,0.045305659,83.01732059,53.57599901,,
CV09EMI03,48.9284035,0.683839848,19.91301462,6.414100161,0.125411102,5.64572115,11.76387862,2.393537915,0.235550741,0.12642542,1283.425072,532.5905683,3.547465315,410.5004742,0.398233745,0.032018655,0.24388303,0.457039293,0.025198582,0.319553352,0.193143806,0.098727094,0.025238275,0.005327003,108.6720019,22.78476307,0.049407067,169
CV09EMI05,50.14848101,0.789922509,20.52707208,6.210239047,0.11590129,4.387042841,11.05776334,2.518753247,0.371775868,0.132464608,1033.764108,577.6923386,3.579438516,0,0.329568936,0.015307686,0.256472137,0.45682475,0.010956315,0.415151831,0.19074693,0.100093148,0.037213537,0.006114949,73.71960439,7.170756717,0.046457275,0
CV09EMI06,49.94795082,1.165661365,17.48095429,10.68088081,0.204793962,4.50273427,8.608822422,2.986366931,0.527025226,0.120902751,927.66086,674.4627158,3.613694784,0,0.441596371,0.066249729,0.237791846,0.666541998,0.017754569,0.263808191,0.18715049,0.255655225,0.100146069,0.013343741,115.8885553,31.55685422,0.055868526,0
