,pressure,mean,std,variance
0,268.5517287155514,,,
1,268.10506472771243,,,
2,267.65840073987346,,,
3,267.2117367520344,,,
4,266.76507276419545,,,
5,266.3184087763565,,,
6,265.8717447885175,,,
7,265.42508080067853,,,
8,264.97841681283955,,,
9,264.5317528250005,,,
10,264.08508883716155,,,
11,263.6384248493226,,,
12,263.1917608614836,,,
13,262.7450968736446,,,
14,262.29843288580565,,,
15,261.8517688979666,,,
16,261.40510491012765,,,
17,260.9584409222887,,,
18,260.5117769344497,,,
19,260.0651129466107,,,
20,259.61844895877175,,,
21,259.1717849709327,,,
22,258.72512098309375,,,
23,258.27845699525477,,,
24,257.8317930074158,,,
25,257.3851290195768,,,
26,256.93846503173785,,,
27,256.4918010438988,,,
28,256.04513705605984,,,
29,255.59847306822087,,,
30,255.1518090803819,,,
31,254.7051450925429,,,
32,254.25848110470392,,,
33,253.81181711686494,,,
34,253.36515312902594,,,
35,252.91848914118697,,,
36,252.471825153348,,,
37,252.025161165509,,,
38,251.57849717767002,,,
39,251.13183318983104,,,
40,250.68516920199204,,,
41,250.23850521415307,,,
42,249.7918412263141,,,
43,249.3451772384751,,,
44,248.8985132506361,,,
45,248.4518492627971,,,
46,248.00518527495814,,,
47,247.55852128711916,,,
48,247.1118572992802,,,
49,246.6651933114412,,,
50,246.2185293236022,,,
51,245.7718653357632,,,
52,245.32520134792424,,,
53,244.87853736008526,,,
54,244.4318733722463,,,
55,243.98520938440728,,,
56,243.5385453965683,,,
57,243.0918814087293,,,
58,242.64521742089033,,,
59,242.19855343305136,,,
60,241.75188944521236,,,
61,241.30522545737338,,,
62,240.8585614695344,,,
63,240.4118974816954,,,
64,239.96523349385643,,,
65,239.51856950601746,,,
66,239.07190551817845,,,
67,238.62524153033948,,,
68,238.1785775425005,,,
69,237.7319135546615,,,
70,237.28524956682253,,,
71,236.83858557898355,,,
72,236.39192159114455,,,
73,235.94525760330558,,,
74,235.49859361546658,,,
75,235.0519296276276,,,
76,234.60526563978863,,,
77,234.15860165194965,,,
78,233.71193766411065,,,
79,233.26527367627168,,,
80,232.81860968843267,,,
81,232.3719457005937,,,
82,231.92528171275472,,,
83,231.47861772491575,,,
84,231.03195373707675,,,
85,230.58528974923777,,,
86,230.13862576139877,,,
87,229.6919617735598,,,
88,229.24529778572082,,,
89,228.79863379788185,,,
90,228.35196981004285,,,
91,227.90530582220387,,,
92,227.45864183436487,,,
93,227.0119778465259,,,
94,226.56531385868692,,,
95,226.11864987084792,,,
96,225.67198588300894,,,
97,225.22532189516997,,,
98,224.77865790733097,,,
99,224.331993919492,,,
100,223.88532993165302,,,
101,223.43866594381402,,,
102,222.99200195597504,,,
103,222.54533796813604,,,
104,222.09867398029706,,,
105,221.6520099924581,,,
106,221.20534600461912,,,
107,220.7586820167801,,,
108,220.31201802894114,,,
109,219.86535404110214,,,
110,219.41869005326316,,,
111,218.9720260654242,,,
112,218.5253620775852,,,
113,218.0786980897462,,,
114,217.63203410190724,,,
115,217.18537011406823,,,
