,pressure,mean,std,variance
0,523.2275316706766,,,
1,522.704781388724,,,
2,522.1820311067713,,,
3,521.6592808248188,,,
4,521.1365305428661,,,
5,520.6137802609135,,,
6,520.0910299789608,,,
7,519.5682796970082,,,
8,519.0455294150556,,,
9,518.522779133103,,,
10,518.0000288511503,,,
11,517.4772785691977,,,
12,516.9545282872451,,,
13,516.4317780052925,,,
14,515.9090277233398,,,
15,515.3862774413872,,,
16,514.8635271594345,,,
17,514.340776877482,,,
18,513.8180265955293,,,
19,513.2952763135767,,,
20,512.772526031624,,,
21,512.2497757496714,,,
22,511.72702546771876,,,
23,511.20427518576616,,,
24,510.6815249038135,,,
25,510.1587746218609,,,
26,509.63602433990826,,,
27,509.11327405795566,,,
28,508.590523776003,,,
29,508.06777349405036,,,
30,507.54502321209776,,,
31,507.0222729301451,,,
32,506.4995226481925,,,
33,505.97677236623986,,,
34,505.4540220842872,,,
35,504.9312718023346,,,
36,504.40852152038195,,,
37,503.88577123842936,,,
38,503.3630209564767,,,
39,502.8402706745241,,,
40,502.31752039257145,,,
41,501.7947701106188,,,
42,501.2720198286662,,,
43,500.74926954671355,,,
44,500.22651926476095,,,
45,499.7037689828083,,,
46,499.1810187008557,,,
47,498.65826841890305,,,
48,498.1355181369504,,,
49,497.6127678549978,,,
50,497.09001757304515,,,
51,496.56726729109255,,,
52,496.0445170091399,,,
53,495.5217667271873,,,
54,494.99901644523464,,,
55,494.476266163282,,,
56,493.9535158813294,,,
57,493.43076559937674,,,
58,492.90801531742414,,,
59,492.3852650354715,,,
60,491.8625147535189,,,
61,491.33976447156624,,,
62,490.8170141896136,,,
63,490.294263907661,,,
64,489.77151362570834,,,
65,489.24876334375574,,,
66,488.7260130618031,,,
67,488.20326277985043,,,
68,487.68051249789784,,,
69,487.1577622159452,,,
70,486.6350119339926,,,
71,486.11226165203993,,,
72,485.58951137008734,,,
73,485.0667610881347,,,
74,484.5440108061821,,,
75,484.02126052422943,,,
76,483.4985102422768,,,
77,482.9757599603242,,,
78,482.45300967837153,,,
79,481.93025939641893,,,
80,481.4075091144663,,,
81,480.8847588325136,,,
82,480.36200855056103,,,
83,479.8392582686084,,,
84,479.3165079866558,,,
85,478.7937577047031,,,
86,478.27100742275053,,,
87,477.7482571407979,,,
88,477.2255068588453,,,
89,476.7027565768926,,,
90,476.18000629494,,,
91,475.6572560129874,,,
92,475.1345057310347,,,
93,474.6117554490821,,,
94,474.08900516712947,,,
95,473.5662548851768,,,
96,473.0435046032242,,,
97,472.52075432127157,,,
98,471.99800403931897,,,
99,471.4752537573663,,,
100,470.9525034754137,,,
101,470.42975319346107,,,
102,469.9070029115084,,,
103,469.3842526295558,,,
104,468.86150234760316,,,
105,468.33875206565057,,,
106,467.8160017836979,,,
107,467.2932515017453,,,
108,466.77050121979266,,,
109,466.24775093784,,,
110,465.7250006558874,,,
111,465.20225037393476,,,
