,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac
0,331.0872063,-9.456920095,2500,5,1400,0.003477278,0.991344452,0,0.583752566,0.416247434,0,0,1.776179469,1.918401231,0,1,0,0,0,0,0,0,0,0,0,0.087536551,1916.001223,0,0,0.167906646,0,0,0,0,0.026118755,0.110993285,0.190492061,9.850677422,0,0,0,-9.956920095,973.2071587,4752.206657,13.46482674,0,0,0,0,0,0,0,0,0,1,0,0,0,1304.00774,0
1,330.7567887,-9.457194787,1307.184351,5.004334508,1208.16939,0.00205151,0.991183141,0.054431152,0.585236712,0.360332136,0.003699119,0.050732033,1.774530173,1.916743313,6.153586335,0.996529657,0.000350594,0.003119749,2.486679922,24.61434534,15.65338116,11.4836757,0,59.11775513,0.067959602,0.087536182,1918.643271,23.45152423,297.7655273,0.030166065,0.000355618,0.003706905,4.57E-06,6.27E-05,0.026031592,0.110619422,0.190496881,0,0,-0.026031592,-0.110619422,0,976.0994407,4758.362968,13.48765872,0.054431152,0.585236712,0.360332136,0.003699119,0.050732033,0.996529657,0.000350594,0.003119749,6.619961606,0.893435819,1.116781691,1.116781691,0.223345872,1307.184351,0.003277199
2,330.4263711,-9.45746948,1307.268408,5.002269618,1292.71364,0.00205157,0.991022096,0.032174175,0.584225642,0.383600183,0.002181676,0.029992499,1.772882445,1.915086908,3.611457676,0.998179864,0.000185521,0.001634616,2.816008122,27.62776095,15.68316517,11.51842126,0,58.90145142,0.067808299,0.087895263,1913.104321,13.80554207,175.6981941,-0.080766194,0.000357691,0.003711821,1.42E-06,1.95E-05,0.026095931,0.110774268,0.19066189,0,0,-0.052127523,-0.22139369,0,974.983792,4755.444805,13.45297492,0.032174175,0.584225642,0.383600183,0.002181676,0.029992499,0.998179864,0.000185521,0.001634616,11.92261116,0.840835114,1.17444933,1.17444933,0.333614217,1307.268408,0.003275133
3,330.0959534,-9.457744172,1306.198151,5.002465611,1283.999847,0.002049902,0.990861315,0.032146436,0.585313458,0.382540107,0.002183614,0.029962822,1.771236283,1.913432015,3.611876891,0.998022997,0.000200938,0.001776065,2.808170567,27.6291913,15.66919163,11.50405967,0,59.06460383,0.067927097,0.087575364,1914.439223,13.79205939,175.1860051,-0.191545841,0.000356041,0.0037095,1.54E-06,2.11E-05,0.026082225,0.110767134,0.190590774,0,0,-0.078209748,-0.332160824,0,975.1095598,4755.722925,13.46662013,0.032146436,0.585313458,0.382540107,0.002183614,0.029962822,0.998022997,0.000200938,0.001776065,11.89992292,0.813778841,1.203753859,1.203753859,0.389975019,1306.198151,0.003278471
4,329.7655358,-9.458018865,1306.015482,5.00253794,1280.866915,0.002049619,0.990700801,0.032168229,0.585811585,0.382020186,0.002181613,0.029986616,1.769591687,1.911778634,3.616001422,0.997965119,0.000206549,0.001828332,2.809985366,27.68340637,15.69257056,11.53105942,0,59.09405327,0.067818865,0.087494727,1913.840475,13.75373115,174.9870021,-0.302311209,0.000355643,0.003709094,1.58E-06,2.17E-05,0.026082411,0.11075926,0.190602836,0,0,-0.104292159,-0.442920084,0,975.2336303,4755.825503,13.46666658,0.032168229,0.585811585,0.382020186,0.002181613,0.029986616,0.997965119,0.000206549,0.001828332,11.87569856,0.800245789,1.218497047,1.218497047,0.418251258,1306.015482,0.00327912
5,329.4351182,-9.458293557,1305.784923,5.002617668,1277.420739,0.002049261,0.990540552,0.032190071,0.586343387,0.381466542,0.002181669,0.030008402,1.767948655,1.910126762,3.620238705,0.997901329,0.000212726,0.001885945,2.809735958,27.71972273,15.70539525,11.5464626,0,59.13092568,0.067774597,0.087401063,1913.34896,13.72843267,174.7762467,-0.41306905,0.000355177,0.003708583,1.63E-06,2.24E-05,0.026081821,0.110751376,0.190610332,0,0,-0.13037398,-0.55367146,0,975.3581814,4755.938534,13.46746648,0.032190071,0.586343387,0.381466542,0.002181669,0.030008402,0.997901329,0.000212726,0.001885945,11.85044119,0.793340383,1.225966844,1.225966844,0.432626461,1305.784923,0.003279916
6,329.1047006,-9.45856825,1305.557841,5.002697342,1273.994131,0.002048908,0.990380568,0.032212014,0.586874399,0.380913587,0.002181617,0.030030396,1.766307185,1.908476399,3.624489385,0.997837589,0.000218881,0.00194353,2.809603215,27.75716982,15.71884559,11.56254471,0,59.167439,0.067726821,0.087308268,1912.851963,13.70248848,174.5666929,-0.52381896,0.000354715,0.003708078,1.68E-06,2.31E-05,0.02608127,0.11074346,0.190618101,0,0,-0.15645525,-0.66441492,0,975.4829519,4756.051451,13.46822695,0.032212014,0.586874399,0.380913587,0.002181617,0.030030396,0.997837589,0.000218881,0.00194353,11.82520261,0.789757685,1.229800582,1.229800582,0.440042898,1305.557841,0.003280702
7,328.7742829,-9.458842942,1305.331323,5.00277739,1270.568229,0.002048557,0.990220851,0.032234047,0.587406587,0.380359367,0.002181576,0.03005247,1.764667277,1.906827543,3.628758385,0.997773559,0.000225047,0.002001394,2.809466331,27.79469642,15.73230323,11.57862678,0,59.204036,0.067679261,0.087215554,1912.355892,13.6766487,174.3575853,-0.63456093,0.000354255,0.003707573,1.72E-06,2.37E-05,0.026080712,0.110735513,0.190625869,0,0,-0.182535962,-0.775150434,0,975.6079584,4756.164858,13.46899307,0.032234047,0.587406587,0.380359367,0.002181576,0.03005247,0.997773559,0.000225047,0.002001394,11.79992607,0.78783639,1.231816411,1.231816411,0.44398002,1305.331323,0.003281487
8,328.4438653,-9.459117635,1305.105535,5.00285779,1267.144103,0.002048206,0.9900614,0.032256171,0.587939841,0.379803988,0.00218154,0.030074631,1.763028928,1.905180192,3.633045523,0.997709255,0.000231222,0.002059522,2.809332176,27.83236302,15.74580347,11.59474758,0,59.24069153,0.067631704,0.087122965,1911.860382,13.65087065,174.1489665,-0.745294928,0.000353794,0.003707069,1.77E-06,2.44E-05,0.026080148,0.110727535,0.19063365,0,0,-0.20861611,-0.885877969,0,975.7332019,4756.278723,13.46976228,0.032256171,0.587939841,0.379803988,0.00218154,0.030074631,0.997709255,0.000231222,0.002059522,11.77461484,0.786746189,1.232923273,1.232923273,0.446177084,1305.105535,0.003282271
9,328.1134477,-9.459392327,1304.880472,5.002938547,1263.72169,0.002047857,0.989902214,0.032278387,0.588474172,0.379247442,0.002181508,0.030096879,1.761392138,1.903534346,3.637350898,0.997644675,0.000237407,0.002117918,2.809200357,27.87016682,15.75934444,11.61090505,0,59.27740707,0.067584162,0.087030498,1911.365453,13.62515658,173.9408332,-0.856020922,0.000353335,0.003706565,1.82E-06,2.51E-05,0.026079579,0.110719526,0.190641445,0,0,-0.234695689,-0.996597495,0,975.8586839,4756.393053,13.47053473,0.032278387,0.588474172,0.379247442,0.002181508,0.030096879,0.997644675,0.000237407,0.002117918,11.74926879,0.786071815,1.233575558,1.233575558,0.447503742,1304.880472,0.003283053
